pathway	pancancer	ontology
Cysteine and methionine metabolism	34359	KEGG
Metabolism of folate and pterines	33913	Reactome
DNA replication	33495	Biological Process
Pentose phosphate pathway	33152	KEGG
Pantothenate and CoA biosynthesis	32781	KEGG
electron transfer activity	32682	Molecular Function
Glycolysis II (from fructose 6-phosphate)	32262	Metacyc
phosphorelay sensor kinase activity	32141	Molecular Function
DNA integration	31796	Biological Process
Methane metabolism	31008	KEGG
Phenylalanine, tyrosine and tryptophan biosynthesis	30991	KEGG
Alanine, aspartate and glutamate metabolism	30938	KEGG
Glycolysis	30804	Reactome
Peptidoglycan biosynthesis	30514	KEGG
zinc ion binding	30047	Molecular Function
Folate biosynthesis	30003	KEGG
Glycolysis IV (plant cytosol)	29650	Metacyc
Porphyrin and chlorophyll metabolism	29479	KEGG
Purine ribonucleoside monophosphate biosynthesis	29259	Reactome
Transcriptional activation of mitochondrial biogenesis	28556	Reactome
Pyruvate metabolism	28510	KEGG
TP53 Regulates Metabolic Genes	27223	Reactome
aminoacyl-tRNA ligase activity	26540	Molecular Function
Carbon fixation pathways in prokaryotes	26507	KEGG
protein folding	26266	Biological Process
magnesium ion binding	26109	Molecular Function
Cristae formation	25864	Reactome
Gluconeogenesis II (Methanobacterium thermoautotrophicum)	25841	Metacyc
Neutrophil degranulation	24809	Reactome
Thiamine metabolism	24127	KEGG
Detoxification of Reactive Oxygen Species	23798	Reactome
Glycerol degradation to butanol	23711	Metacyc
heme binding	23621	Molecular Function
Gluconeogenesis	23311	Reactome
Carbon fixation in photosynthetic organisms	22889	KEGG
Formation of ATP by chemiosmotic coupling	22856	Reactome
tRNA aminoacylation for protein translation	22752	Biological Process
phosphoenolpyruvate-dependent sugar phosphotransferase system	22690	Biological Process
Displacement of DNA glycosylase by APEX1	22429	Reactome
Terpenoid backbone biosynthesis	22351	KEGG
Complex I biogenesis	22009	Reactome
flavin adenine dinucleotide binding	21973	Molecular Function
glycolytic process	21942	Biological Process
Rubisco shunt	21593	Metacyc
pyridoxal phosphate binding	21391	Molecular Function
Galactose metabolism	21295	KEGG
N-acetyltransferase activity	21120	Molecular Function
Glycine, serine and threonine metabolism	21119	KEGG
RNA modification	20895	Biological Process
pseudouridine synthesis	20890	Biological Process
Nicotinate and nicotinamide metabolism	20666	KEGG
Riboflavin metabolism	20407	KEGG
Valine, leucine and isoleucine biosynthesis	20333	KEGG
Glutathione metabolism	20168	KEGG
Interconversion of nucleotide di- and triphosphates	20064	Reactome
transferase activity, transferring acyl groups	19933	Molecular Function
Arginine biosynthesis	19841	KEGG
pseudouridine synthase activity	19692	Molecular Function
rRNA processing	19444	Biological Process
Mitochondrial protein import	19294	Reactome
Fructose and mannose metabolism	19239	KEGG
Superpathway of glucose and xylose degradation	19207	Metacyc
Methylerythritol phosphate pathway II	19137	Metacyc
Entner-Doudoroff pathway I	19086	Metacyc
Oxidative phosphorylation	18943	KEGG
Cytosolic tRNA aminoacylation	18902	Reactome
DNA topological change	18857	Biological Process
4 iron, 4 sulfur cluster binding	18669	Molecular Function
Drug metabolism - other enzymes	18210	KEGG
Folate transformations II (plants)	17986	Metacyc
1-butanol autotrophic biosynthesis (engineered)	17883	Metacyc
Propanoate metabolism	17864	KEGG
nucleoside metabolic process	17861	Biological Process
Ion transport by P-type ATPases	17774	Reactome
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	17730	Metacyc
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	17730	Metacyc
Starch and sucrose metabolism	17603	KEGG
ATP synthesis coupled proton transport	17501	Biological Process
Pyrimidine deoxyribonucleotides de novo biosynthesis I	17422	Metacyc
Histidine metabolism	17383	KEGG
rRNA binding	17381	Molecular Function
phosphorylation	17354	Biological Process
Citric acid cycle (TCA cycle)	17107	Reactome
transferase activity	16997	Molecular Function
Branched-chain amino acid catabolism	16862	Reactome
metalloendopeptidase activity	16669	Molecular Function
CMP-legionaminate biosynthesis I	16573	Metacyc
potassium ion transport	16533	Biological Process
Purine nucleobases degradation II (anaerobic)	16405	Metacyc
hydrolase activity, hydrolyzing O-glycosyl compounds	16372	Molecular Function
transferase activity, transferring phosphorus-containing groups	16290	Molecular Function
RNA processing	16082	Biological Process
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	16005	Molecular Function
transcription, DNA-templated	16001	Biological Process
NAD binding	15913	Molecular Function
Peptidoglycan biosynthesis II (staphylococci)	15895	Metacyc
Peptidoglycan biosynthesis IV (Enterococcus faecium)	15895	Metacyc
GTPase activity	15858	Molecular Function
Flavin biosynthesis III (fungi)	15763	Metacyc
Chorismate biosynthesis from 3-dehydroquinate	15632	Metacyc
iron ion binding	15585	Molecular Function
tRNA processing	15486	Biological Process
Methylation	15366	Reactome
oxidoreductase activity, acting on the CH-CH group of donors	15321	Molecular Function
serine-type endopeptidase activity	15297	Molecular Function
ligase activity	15192	Molecular Function
Heme biosynthesis	15164	Reactome
Lysine biosynthesis	15158	KEGG
cellular amino acid metabolic process	15066	Biological Process
single-stranded DNA binding	14961	Molecular Function
DNA-directed 5'-3' RNA polymerase activity	14844	Molecular Function
Pyrimidine deoxyribonucleotides de novo biosynthesis III	14477	Metacyc
protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	14410	Molecular Function
Pyrimidine deoxyribonucleotides biosynthesis from CTP	14406	Metacyc
Glyoxylate and dicarboxylate metabolism	14278	KEGG
Entner-Doudoroff pathway III (semi-phosphorylative)	14191	Metacyc
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	14141	Molecular Function
Formaldehyde assimilation II (assimilatory RuMP Cycle)	14011	Metacyc
Pyrimidine deoxyribonucleotides de novo biosynthesis II	14010	Metacyc
Pyrimidine deoxyribonucleotides de novo biosynthesis IV	13948	Metacyc
FMN binding	13913	Molecular Function
Peptidoglycan biosynthesis V (beta-lactam resistance)	13872	Metacyc
Cobalamin (Cbl, vitamin B12) transport and metabolism	13759	Reactome
metal ion transport	13716	Biological Process
Tetrapyrrole biosynthesis I (from glutamate)	13352	Metacyc
riboflavin biosynthetic process	13315	Biological Process
unfolded protein binding	13242	Molecular Function
fatty acid biosynthetic process	13240	Biological Process
L-arginine biosynthesis III (via N-acetyl-L-citrulline)	12794	Metacyc
Pentose phosphate pathway	12762	Reactome
lyase activity	12701	Molecular Function
tRNA modification in the nucleus and cytosol	12681	Reactome
Photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	12679	Metacyc
Glycerophospholipid metabolism	12649	KEGG
ATPase-coupled transmembrane transporter activity	12575	Molecular Function
Glutamate and glutamine metabolism	12530	Reactome
Citrate cycle (TCA cycle)	12476	KEGG
transferase activity, transferring alkyl or aryl (other than methyl) groups	12474	Molecular Function
Photosynthesis	12430	KEGG
Lipopolysaccharide biosynthesis	12289	KEGG
Regulation of pyruvate dehydrogenase (PDH) complex	12227	Reactome
intramolecular transferase activity, phosphotransferases	12198	Molecular Function
Anaerobic energy metabolism (invertebrates, cytosol)	12071	Metacyc
ATP biosynthesis	12057	Metacyc
Signaling by Retinoic Acid	12016	Reactome
L-arginine biosynthesis IV (archaebacteria)	11938	Metacyc
Glyoxylate metabolism and glycine degradation	11851	Reactome
serine-type peptidase activity	11850	Molecular Function
translational initiation	11826	Biological Process
cobalamin biosynthetic process	11774	Biological Process
UMP biosynthesis I	11753	Metacyc
UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	11711	Metacyc
L-lysine biosynthesis II	11627	Metacyc
recombinase activity	11620	Molecular Function
L-lysine biosynthesis VI	11598	Metacyc
UMP biosynthesis III	11529	Metacyc
Cleavage of the damaged pyrimidine	11466	Reactome
Recognition and association of DNA glycosylase with site containing an affected pyrimidine	11466	Reactome
Nicotinate metabolism	11455	Reactome
Folate transformations I	11348	Metacyc
ATP-dependent peptidase activity	11305	Molecular Function
Adenosine ribonucleotides de novo biosynthesis	11294	Metacyc
UMP biosynthesis II	11262	Metacyc
Queuosine biosynthesis I (de novo)	11247	Metacyc
Flavin biosynthesis II (archaea)	11230	Metacyc
Biotin transport and metabolism	11201	Reactome
(S)-lactate fermentation to propanoate, acetate and hydrogen	11193	Metacyc
mismatch repair	11167	Biological Process
large ribosomal subunit	11109	Cellular Component
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	11036	Molecular Function
ATP-binding cassette (ABC) transporter complex	11026	Cellular Component
cation transmembrane transporter activity	10997	Molecular Function
1,3-propanediol biosynthesis (engineered)	10967	Metacyc
Mitochondrial tRNA aminoacylation	10814	Reactome
tRNA modification in the mitochondrion	10806	Reactome
nucleobase-containing compound metabolic process	10715	Biological Process
DNA-directed DNA polymerase activity	10681	Molecular Function
transferase activity, transferring acyl groups other than amino-acyl groups	10672	Molecular Function
Arginine and proline metabolism	10567	KEGG
isomerase activity	10532	Molecular Function
kinase activity	10520	Molecular Function
L-lysine biosynthesis III	10518	Metacyc
D-Alanine metabolism	10434	KEGG
SUMOylation of DNA replication proteins	10402	Reactome
transposition, DNA-mediated	10378	Biological Process
D-Glutamine and D-glutamate metabolism	10367	KEGG
transposase activity	10306	Molecular Function
peptidyl-prolyl cis-trans isomerase activity	10260	Molecular Function
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	10102	Metacyc
SRP-dependent cotranslational protein targeting to membrane	10092	Biological Process
Pyrimidine catabolism	10062	Reactome
5-aminoimidazole ribonucleotide biosynthesis I	9971	Metacyc
Formaldehyde assimilation I (serine pathway)	9915	Metacyc
base-excision repair	9905	Biological Process
Queuosine biosynthesis III (queuosine salvage)	9818	Metacyc
translation initiation factor activity	9772	Molecular Function
mismatched DNA binding	9763	Molecular Function
sigma factor activity	9734	Molecular Function
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	9636	Molecular Function
nitrogen compound metabolic process	9602	Biological Process
regulation of DNA-templated transcription, elongation	9575	Biological Process
Nitrogen metabolism	9538	KEGG
Glycerolipid metabolism	9532	KEGG
proton-transporting ATP synthase activity, rotational mechanism	9522	Molecular Function
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	9444	Metacyc
tRNA modification	9416	Biological Process
histidine biosynthetic process	9397	Biological Process
tetrapyrrole biosynthetic process	9388	Biological Process
lysine biosynthetic process via diaminopimelate	9385	Biological Process
Peptidoglycan biosynthesis III (mycobacteria)	9345	Metacyc
Sulfur amino acid metabolism	9315	Reactome
purine nucleotide biosynthetic process	9299	Biological Process
Fatty acid biosynthesis initiation (bacteria and plants)	9267	Metacyc
carboxyl- or carbamoyltransferase activity	9186	Molecular Function
peptidoglycan catabolic process	9168	Biological Process
Monobactam biosynthesis	9141	KEGG
Adenosine deoxyribonucleotides de novo biosynthesis II	9130	Metacyc
Guanosine deoxyribonucleotides de novo biosynthesis II	9130	Metacyc
L-histidine degradation III	9127	Metacyc
Taurine and hypotaurine metabolism	9073	KEGG
Methylaspartate cycle	9070	Metacyc
endonuclease activity	9027	Molecular Function
S-adenosyl-L-methionine cycle II	8980	Metacyc
Guanosine ribonucleotides de novo biosynthesis	8892	Metacyc
Ethylene biosynthesis V (engineered)	8801	Metacyc
aminoacyl-tRNA editing activity	8774	Molecular Function
Pyrimidine salvage	8762	Reactome
Synthesis of diphthamide-EEF2	8732	Reactome
Pyridine nucleotide cycling (plants)	8729	Metacyc
protein transport	8682	Biological Process
TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	8676	Metacyc
Sucrose biosynthesis II	8672	Metacyc
lipid metabolic process	8653	Biological Process
tRNA binding	8631	Molecular Function
Pentose and glucuronate interconversions	8628	KEGG
protein kinase activity	8627	Molecular Function
3-hydroxypropanoate/4-hydroxybutanate cycle	8618	Metacyc
terpenoid biosynthetic process	8595	Biological Process
gluconeogenesis	8568	Biological Process
5-aminoimidazole ribonucleotide biosynthesis II	8530	Metacyc
Superpathway of 5-aminoimidazole ribonucleotide biosynthesis	8530	Metacyc
phosphotransferase activity, alcohol group as acceptor	8529	Molecular Function
Thiamine salvage IV (yeast)	8495	Metacyc
NAD biosynthetic process	8420	Biological Process
Thyroxine biosynthesis	8372	Reactome
Selenocompound metabolism	8339	KEGG
L-isoleucine biosynthesis III	8339	Metacyc
Biotin metabolism	8291	KEGG
cation transport	8283	Biological Process
DNA helicase activity	8250	Molecular Function
protein secretion	8204	Biological Process
Starch biosynthesis	8173	Metacyc
Fanconi Anemia Pathway	8173	Reactome
Inosine-5'-phosphate biosynthesis I	8162	Metacyc
Inosine-5'-phosphate biosynthesis III	8162	Metacyc
Selenoamino acid metabolism	8143	Reactome
UDP-N-acetyl-D-galactosamine biosynthesis II	8141	Metacyc
Termination of translesion DNA synthesis	8134	Reactome
chemotaxis	8131	Biological Process
proton transmembrane transporter activity	8120	Molecular Function
protein phosphorylation	8014	Biological Process
Pyruvate fermentation to acetate IV	7999	Metacyc
Partial TCA cycle (obligate autotrophs)	7921	Metacyc
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	7914	Reactome
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	7914	Reactome
translation elongation factor activity	7906	Molecular Function
2 iron, 2 sulfur cluster binding	7884	Molecular Function
MicroRNA (miRNA) biogenesis	7848	Reactome
CDP-diacylglycerol biosynthesis III	7817	Metacyc
transferase activity, transferring pentosyl groups	7800	Molecular Function
nucleotidyltransferase activity	7784	Molecular Function
Adenosine deoxyribonucleotides de novo biosynthesis	7782	Metacyc
Guanosine deoxyribonucleotides de novo biosynthesis I	7782	Metacyc
Pyruvate fermentation to acetate II	7713	Metacyc
Other glycan degradation	7705	KEGG
Tetrapyrrole biosynthesis II (from glycine)	7697	Metacyc
antiporter activity	7690	Molecular Function
Aspartate and asparagine metabolism	7684	Reactome
xenobiotic transmembrane transporter activity	7658	Molecular Function
C5-Branched dibasic acid metabolism	7637	KEGG
Vitamin B6 metabolism	7595	KEGG
Inosine-5'-phosphate biosynthesis II	7572	Metacyc
translational elongation	7538	Biological Process
DNA topoisomerase activity	7473	Molecular Function
amino acid binding	7451	Molecular Function
TCA cycle II (plants and fungi)	7426	Metacyc
N-acetylmuramoyl-L-alanine amidase activity	7407	Molecular Function
Transport of bile salts and organic acids, metal ions and amine compounds	7404	Reactome
bacterial-type flagellum-dependent cell motility	7368	Biological Process
Pyruvate fermentation to isobutanol (engineered)	7316	Metacyc
Molybdenum cofactor biosynthesis	7278	Reactome
Purine catabolism	7154	Reactome
Tryptophan metabolism	7138	KEGG
coenzyme A biosynthetic process	7069	Biological Process
RNA Polymerase II Pre-transcription Events	7066	Reactome
cell division	7060	Biological Process
3-hydroxypropanoate cycle	7052	Metacyc
protein dimerization activity	7041	Molecular Function
Formation of RNA Pol II elongation complex	7038	Reactome
RNA Polymerase II Transcription Elongation	7037	Reactome
RNA methyltransferase activity	7028	Molecular Function
phospholipid biosynthetic process	7026	Biological Process
TP53 Regulates Transcription of DNA Repair Genes	7022	Reactome
Formation of HIV elongation complex in the absence of HIV Tat	7018	Reactome
Formation of HIV-1 elongation complex containing HIV-1 Tat	7018	Reactome
Tat-mediated elongation of the HIV-1 transcript	7017	Reactome
Formation of the Early Elongation Complex	7009	Reactome
Formation of the HIV-1 Early Elongation Complex	7009	Reactome
mRNA Capping	6998	Reactome
RNA Pol II CTD phosphorylation and interaction with CE	6997	Reactome
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	6997	Reactome
Fatty acid biosynthesis	6984	KEGG
6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)	6984	Metacyc
ribonuclease III activity	6947	Molecular Function
ER-Phagosome pathway	6944	Reactome
'de novo' IMP biosynthetic process	6900	Biological Process
Lipoprotein posttranslational modification	6892	Metacyc
UDP-N-acetyl-D-galactosamine biosynthesis III	6871	Metacyc
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	6870	Reactome
integral component of plasma membrane	6855	Cellular Component
translational termination	6843	Biological Process
small ribosomal subunit	6838	Cellular Component
proton-transporting ATP synthase complex, catalytic core F(1)	6831	Cellular Component
RNA polymerase II transcribes snRNA genes	6818	Reactome
MGMT-mediated DNA damage reversal	6814	Reactome
HIV elongation arrest and recovery	6811	Reactome
Pausing and recovery of HIV elongation	6811	Reactome
Pausing and recovery of Tat-mediated HIV elongation	6811	Reactome
Tat-mediated HIV elongation arrest and recovery	6811	Reactome
Abortive elongation of HIV-1 transcript in the absence of Tat	6803	Reactome
Protein repair	6738	Reactome
hydrolase activity, acting on ester bonds	6710	Molecular Function
Dual incision in TC-NER	6688	Reactome
Gap-filling DNA repair synthesis and ligation in TC-NER	6684	Reactome
NADP binding	6681	Molecular Function
Glyoxylate assimilation	6672	Metacyc
Reductive TCA cycle II	6632	Metacyc
Inositol phosphate metabolism	6597	KEGG
O-linked glycosylation of mucins	6572	Reactome
Tetrahydromethanopterin biosynthesis	6571	Metacyc
Threonine catabolism	6567	Reactome
Coenzyme A biosynthesis II (eukaryotic)	6563	Metacyc
Lipid IVA biosynthesis (P. putida)	6538	Metacyc
HDR through Homologous Recombination (HRR)	6515	Reactome
Anaerobic energy metabolism (invertebrates, mitochondrial)	6508	Metacyc
proton-transporting ATP synthase complex, coupling factor F(o)	6486	Cellular Component
6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	6476	Metacyc
Thiamine diphosphate biosynthesis III (Staphylococcus)	6470	Metacyc
Thiamine diphosphate biosynthesis IV (eukaryotes)	6470	Metacyc
T cell receptor signaling pathway	6466	KEGG
PD-L1 expression and PD-1 checkpoint pathway in cancer	6465	KEGG
Th1 and Th2 cell differentiation	6465	KEGG
Regulation of HSF1-mediated heat shock response	6463	Reactome
aromatic amino acid family biosynthetic process	6440	Biological Process
Sialic acid metabolism	6433	Reactome
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	6430	Reactome
plasma membrane	6395	Cellular Component
GDP-mannose biosynthesis	6353	Metacyc
Xyloglucan degradation II (exoglucanase)	6345	Metacyc
Sulfur metabolism	6337	KEGG
outer membrane	6330	Cellular Component
carbohydrate binding	6311	Molecular Function
damaged DNA binding	6277	Molecular Function
Molybdenum cofactor biosynthesis	6275	Metacyc
Pyrimidine deoxyribonucleosides salvage	6251	Metacyc
2'-deoxymugineic acid phytosiderophore biosynthesis	6239	Metacyc
S-adenosylmethionine biosynthetic process	6236	Biological Process
methionine adenosyltransferase activity	6236	Molecular Function
sodium ion transport	6227	Biological Process
Synthesis of Dolichyl-phosphate	6175	Reactome
methylation	6119	Biological Process
L-isoleucine biosynthesis II	6097	Metacyc
L-isoleucine biosynthesis IV	6075	Metacyc
Sphingolipid metabolism	6072	KEGG
carbohydrate derivative metabolic process	6031	Biological Process
carbohydrate derivative binding	6031	Molecular Function
G1/S-Specific Transcription	6022	Reactome
Butanoate metabolism	6015	KEGG
DNA polymerase III complex	6012	Cellular Component
CMP phosphorylation	6003	Metacyc
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	5977	Reactome
nucleoside-triphosphate diphosphatase activity	5971	Molecular Function
Formation of the active cofactor, UDP-glucuronate	5954	Reactome
Defective DHDDS causes retinitis pigmentosa 59	5947	Reactome
Ansatrienin biosynthesis	5936	Metacyc
Defective HLCS causes multiple carboxylase deficiency	5903	Reactome
Alanine racemization	5893	Metacyc
DNA methylation	5877	Biological Process
N-methyltransferase activity	5877	Molecular Function
exodeoxyribonuclease VII activity	5857	Molecular Function
L-cysteine biosynthesis II (tRNA-dependent)	5852	Metacyc
Synthesis of PA	5848	Reactome
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	5846	Molecular Function
Formate assimilation into 5,10-methylenetetrahydrofolate	5825	Metacyc
isoprenoid biosynthetic process	5807	Biological Process
1,5-anhydrofructose degradation	5791	Metacyc
phosphatase activity	5783	Molecular Function
thiamine pyrophosphate binding	5768	Molecular Function
pyrimidine nucleotide biosynthetic process	5766	Biological Process
Recruitment of NuMA to mitotic centrosomes	5704	Reactome
aminoacyl-tRNA hydrolase activity	5668	Molecular Function
Tunicamycin biosynthesis	5655	Metacyc
Tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	5652	Metacyc
Thiamine salvage II	5646	Metacyc
Pyrimidine biosynthesis	5631	Reactome
Dipicolinate biosynthesis	5594	Metacyc
L-glutamine biosynthesis III	5560	Metacyc
Mitochondrial iron-sulfur cluster biogenesis	5529	Reactome
Regulation of the apoptosome activity	5528	Reactome
Formation of apoptosome	5526	Reactome
Mitochondrial Fatty Acid Beta-Oxidation	5507	Reactome
cellular metabolic process	5489	Biological Process
Sucrose degradation II (sucrose synthase)	5473	Metacyc
penicillin binding	5461	Molecular Function
beta-Alanine metabolism	5456	KEGG
SMAC (DIABLO) binds to IAPs	5449	Reactome
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes	5449	Reactome
Activation of caspases through apoptosome-mediated cleavage	5447	Reactome
DNA replication initiation	5441	Biological Process
Ethylene biosynthesis III (microbes)	5440	Metacyc
copper ion binding	5422	Molecular Function
Release of apoptotic factors from the mitochondria	5388	Reactome
triose-phosphate isomerase activity	5378	Molecular Function
Thiamine formation from pyrithiamine and oxythiamine (yeast)	5368	Metacyc
Resolution of D-loop Structures through Holliday Junction Intermediates	5366	Reactome
3'-5' exonuclease activity	5350	Molecular Function
tRNA aminoacylation	5349	Biological Process
thiamine biosynthetic process	5336	Biological Process
Nicotinamide salvaging	5309	Reactome
lipid A biosynthetic process	5297	Biological Process
Thiazole biosynthesis I (facultative anaerobic bacteria)	5289	Metacyc
Candicidin biosynthesis	5256	Metacyc
DNA catabolic process	5244	Biological Process
hydroxymethyl-, formyl- and related transferase activity	5243	Molecular Function
Salinosporamide A biosynthesis	5229	Metacyc
Sucrose degradation III (sucrose invertase)	5226	Metacyc
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	5223	Reactome
folic acid-containing compound biosynthetic process	5206	Biological Process
nuclease activity	5205	Molecular Function
phosphoglycerate kinase activity	5204	Molecular Function
Vitamin B1 (thiamin) metabolism	5190	Reactome
Lipoic acid metabolism	5177	KEGG
peptidase activity	5168	Molecular Function
Preq0 biosynthesis	5148	Metacyc
transaminase activity	5139	Molecular Function
protein disulfide oxidoreductase activity	5133	Molecular Function
Folate polyglutamylation	5106	Metacyc
Histidine catabolism	5094	Reactome
exodeoxyribonuclease VII complex	5089	Cellular Component
metalloaminopeptidase activity	5075	Molecular Function
Ubiquinone and other terpenoid-quinone biosynthesis	5069	KEGG
Thiazole biosynthesis II (aerobic bacteria)	5068	Metacyc
arginyl-tRNA aminoacylation	5054	Biological Process
arginine-tRNA ligase activity	5054	Molecular Function
Glycosaminoglycan degradation	4987	KEGG
Sucrose degradation IV (sucrose phosphorylase)	4987	Metacyc
Chitin biosynthesis	4982	Metacyc
'de novo' pyrimidine nucleobase biosynthetic process	4981	Biological Process
four-way junction helicase activity	4967	Molecular Function
Processing of SMDT1	4943	Reactome
Stachyose degradation	4939	Metacyc
ATF4 activates genes in response to endoplasmic reticulum stress	4902	Reactome
Acyl carrier protein metabolism	4897	Metacyc
D-sorbitol biosynthesis I	4896	Metacyc
Sucrose biosynthesis III	4896	Metacyc
regulation of DNA replication	4894	Biological Process
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	4830	Reactome
Formaldehyde oxidation VII (THF pathway)	4827	Metacyc
Lipoate biosynthesis and incorporation III (Bacillus)	4818	Metacyc
Lipoate biosynthesis and incorporation IV (yeast)	4804	Metacyc
Mo-molybdopterin cofactor biosynthetic process	4790	Biological Process
Pyrimidine deoxyribonucleotide phosphorylation	4787	Metacyc
intracellular protein transport	4776	Biological Process
purine nucleobase biosynthetic process	4771	Biological Process
P-P-bond-hydrolysis-driven protein transmembrane transporter activity	4771	Molecular Function
response to oxidative stress	4768	Biological Process
Glycosphingolipid biosynthesis - ganglio series	4761	KEGG
proton transmembrane transport	4758	Biological Process
holo-[acyl-carrier-protein] synthase activity	4749	Molecular Function
Acyl carrier protein activation	4749	Metacyc
Petrobactin biosynthesis	4749	Metacyc
maintenance of CRISPR repeat elements	4740	Biological Process
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity	4680	Molecular Function
L-methionine biosynthesis IV (archaea)	4673	Metacyc
aspartic-type endopeptidase activity	4648	Molecular Function
cellular protein modification process	4645	Biological Process
UTP and CTP de novo biosynthesis	4641	Metacyc
Cyanoamino acid metabolism	4634	KEGG
regulation of cell shape	4611	Biological Process
rRNA methyltransferase activity	4605	Molecular Function
Thiamine diphosphate biosynthesis I (E. coli)	4604	Metacyc
Thiamine diphosphate biosynthesis II (Bacillus)	4604	Metacyc
negative regulation of transcription, DNA-templated	4578	Biological Process
Inosine 5'-phosphate degradation	4569	Metacyc
6-phosphofructokinase activity	4549	Molecular Function
Coenzyme A biosynthesis	4516	Reactome
symporter activity	4503	Molecular Function
Pyruvate fermentation to acetate V	4496	Metacyc
Pyruvate fermentation to acetate VI	4496	Metacyc
Quinate degradation II	4475	Metacyc
Glucosylglycerol biosynthesis	4474	Metacyc
Gallate biosynthesis	4473	Metacyc
3-dehydroquinate dehydratase activity	4469	Molecular Function
